Date,Selic,Meeting_Number,Decision,Decision_txt,label_hawk_dove,label_next_meet,Text,Type
2008/01/23,11.25,132.0,0.0,mantain,neutral,mantain," Assessing the macroeconomic outlook and the prospective scenario for inflation, the Copom unanimously decided to maintain the Selic interest rate at 11.25 percent p.a., without bias. The Committee will monitor the evolution of the macroeconomic scenario until the next meeting, when it will define the next steps in its monetary policy strategy.The Portuguese version of the January Copom Minutes will be released next Thursday, January 31. ",Statement
2008/03/05,11.25,133.0,0.0,mantain,neutral,increase," Assessing the macroeconomic outlook and the prospective scenario for inflation, the Copom unanimously decided to maintain the Selic interest rate at 11.25 percent p.a., without bias. The Committee will carefully monitor the evolution of the macroeconomic scenario until the next meeting, when it will define the next steps in its monetary policy strategy.The Portuguese version of the March Copom Minutes will be released next Thursday, March 13. ",Statement
2008/04/16,11.75,134.0,0.5,increase,hawkish,increase," Assessing the macroeconomic outlook and the prospective scenario for inflation, the Copom unanimously decided to raise the Selic interest rate to 11.75 percent p.a., without bias. The Committee judges that the decision to immediately materialize relevant part of the basic interest rate move will contribute to a prompt retraction in the risk to inflation and, as a consequence, to reduce the magnitude of the total adjustment to be implemented.The Portuguese version of the April Copom Minutes will be released next Thursday, April 24. ",Statement
2008/06/04,12.25,135.0,0.5,increase,hawkish,increase," Brasília - Continuing the adjustment process of the basic interest rate started in the April meeting, the Copom unanimously decided to increase the Selic target to 12.25 percent, without bias.The Portuguese version of the June Copom Minutes will be released next Thursday, June 12. ",Statement
2008/07/23,13.0,136.0,0.75,increase,hawkish,increase,"  	""Brasília - Assessing the macroeconomic outlook and aimed at promptly promoting convergence of inflation to the targets path, the Copom unanimously decided to increase the Selic target to 13.00 percent, without bias.The Portuguese version of the July Copom Minutes will be released next Thursday, July 31. ",Statement
2008/09/10,13.75,137.0,0.75,increase,hawkish,mantain,"  	""Brasília - Assessing the macroeconomic outlook and aimed at promptly promoting convergence of inflation to the targets path, the Copom decided to increase the Selic target to 13.75 percent, without bias. Five votes were for the Copom monetary policy action, while three votes were in favor of increasing the Selic target by 50 basis points.The Portuguese version of the September Copom Minutes will be released next Thursday, September 18. ",Statement
2008/10/29,13.75,138.0,0.0,mantain,dovish,mantain,"   	""Brasília - Assessing the forward-looking scenario and the balance of risks for inflation, in a more uncertain environment, the Copom unanimously decided, at this moment, to maintain the Selic target at 13.75 percent p.a., without bias.The Portuguese version of the October Copom Minutes will be released next Thursday, November 6. ",Statement
2008/12/10,13.75,139.0,0.0,mantain,neutral,decrease," Brasília - Having the majority of the members of the Committee discussed the possibility of reducing the basic interest rate already in this meeting, in a context of macroeconomic environment that continues to be surrounded by great uncertainty, the Copom unanimously decided to still maintain the Selic target at 13.75% p. a., without bias, at this moment. The Committee will carefully monitor the evolution of the inflation forward-looking scenario aiming at timely defining the next steps of its monetary policy strategy.The Portuguese version of the December Copom Minutes will be released next Thursday, December 18. ",Statement
2009/01/21,12.75,140.0,-1.0,decrease,dovish,decrease,"  	""Brasília - Evaluating the inflation prospects, the Copom decided, at this moment, to reduce the Selic rate to 12.75% p.a., without bias, with five votes for the monetary policy action and three votes in favor of reducing the Selic rate by 0.75 p.p. Therefore, the Committee starts a process of monetary policy easing, immediately carrying a relevant part of the basic interest rate movement, without hindering the accomplishment of the inflation target. The January Copom Minutes will be released in Portuguese next Thursday, January 29. ",Statement
2009/03/11,11.25,141.0,-1.5,decrease,dovish,decrease,"   	""Brasília - Assessing the macroeconomic outlook, the Copom unanimously decided, at this moment, to reduce the Selic rate to 11.25% p.a., without bias. The Committee will monitor the evolution of the inflation forward-looking scenario until its next meeting, considering the magnitude and quickness of the basic interest rate adjustment already implemented and its cumulative effects, in order to define the next steps of its monetary policy strategy.The March Copom Minutes will be released in Portuguese next Thursday, March 19. ",Statement
2009/04/29,10.25,142.0,-1.0,decrease,less dovish,decrease,"   	""Brasília - Assessing the macroeconomic scenario and aiming to extend the process of monetary easing, the Copom unanimously decided to lower the Selic rate to 10.25 percent, without bias. ",Statement
2009/06/10,9.25,143.0,-1.0,decrease,dovish,decrease," Brasília - In light of inflation prospects for the targets path, the Copom decided to lower the Selic rate to 9.25 percent, without bias, with six votes for the monetary policy action and two votes in favor of reducing the Selic rate by 0.75 p.p. Considering that changes in the basic interest rates have effects over economic activity and inflationary dynamics which accumulate throughout time, the Committee agrees that any additional monetary easing should be implemented in a more parsimonious way. The Copom will closely monitor the evolution of the prospective scenario for inflation until its next meeting in order to define the next steps of the monetary policy strategy. ",Statement
2009/07/22,8.75,144.0,-0.5,decrease,less dovish,mantain," Brasília - In light of inflation prospects for the targets path, the Copom unanimously decided to lower the Selic rate to 8.75 percent, without bias. Considering that the monetary policy easing implemented since January has lagged and cumulative effects over economy, the Committee evaluates, at the moment, that this basic interest rate level is consistent with a benign inflationary scenario, contributing to ensure the convergence of inflation to the targets path during the relevant forecast period, as well as to the non-inflationary recovery of economic activity. ",Statement
2009/09/02,8.75,145.0,0.0,mantain,hawkish,mantain,"  	Brasília - In light of inflation prospects for the targets path, the Copom unanimously decided to maintain the Selic rate at 8.75 percent, without bias. Considering, on the one hand, the monetary policy easing implemented since January, and on the other hand, the idle margin of production factors, among other factors, the Committee evaluates that basic interest rate level is consistent with a benign inflationary scenario, contributing to ensure the maintenance of inflation in line with the targets path during the relevant forecast period, as well as to the non-inflationary recovery of economic activity.  ",Statement
2009/10/21,8.75,146.0,0.0,mantain,neutral,mantain,"   	Brasília - In light of inflation prospects for the targets path, the Copom unanimously decided to maintain the Selic rate at 8.75 percent, without bias. Considering, on the one hand, the monetary policy easing implemented since January, and on the other hand, the idle margin of production factors, among other factors, the Committee evaluates that this basic interest rate level is consistent with a benign inflationary scenario, contributing to ensure the maintenance of inflation in line with the targets path during the relevant forecast period, as well as to the non-inflationary recovery of economic activity. The October Copom Minutes will be released in Portuguese next Thursday, October 29. ",Statement
2009/12/09,8.75,147.0,0.0,mantain,neutral,mantain,"  	Brasília - In light of inflation prospects for the targets path, the Copom unanimously decided to maintain the Selic rate at 8.75 percent, without bias. Considering, on the one hand, the monetary policy easing implemented since January, and on the other hand, the remaining idle margin of production factors, among other factors, the Committee evaluates, at the present moment, that this basic interest rate level is consistent with a benign inflationary scenario, contributing to ensure the maintenance of inflation in line with the targets path during the relevant forecast period, as well as to the non-inflationary recovery of economic activity. The December Copom Minutes will be released in Portuguese next Thursday, December 17. ",Statement
2010/01/27,8.75,148.0,0.0,mantain,neutral,mantain," Brasília - Assessing the macroeconomic outlook and the prospects for inflation, the Copom unanimously decided to maintain the Selic rate at 8.75 percent, without bias. The Committee will monitor the evolution of the macroeconomic scenario until its next meeting, in order to define the next steps of its monetary policy strategy.The January Copom Minutes will be released in Portuguese next Thursday, February 4. ",Statement
2010/03/17,8.75,149.0,0.0,mantain,neutral,increase," Brasília - Assessing the macroeconomic outlook and the prospects for inflation, the Copom decided to maintain the Selic rate at 8.75 percent, without bias, with five votes for the monetary policy action and three votes in favor of increasing the Selic rate by 50 basis points. The Committee will carefully monitor the evolution of the macroeconomic scenario until its next meeting, in order to define the next steps of its monetary policy strategy.The March Copom Minutes will be released in Portuguese next Thursday, March 25. ",Statement
2010/04/28,9.5,150.0,0.75,increase,hawkish,increase," Brasília - Continuing the adjustment process of the monetary conditions to the forward-looking scenario of the economy, in order to ensure the convergence of inflation to the targets path, the Copom unanimously decided to increase the Selic target to 9.50 percent, without bias.  The April Copom Minutes will be released in Portuguese next Thursday, May 6. ",Statement
2010/06/09,10.25,151.0,0.75,increase,hawkish,increase," Brasília - Continuing the adjustment process of the monetary conditions to the forward-looking scenario of the economy, in order to ensure the convergence of inflation to the targets path, the Copom unanimously decided to increase the Selic target to 10.25 percent, without bias.The June Copom Minutes will be released in Portuguese next Thursday, June 17. ",Statement
2010/07/21,10.75,152.0,0.5,increase,less hawkish,mantain," Brasília - Assessing the macroeconomic outlook and the prospects for inflation, the Copom unanimously decided to increase the Selic target to 10.75 percent, without bias. Considering the process of declining risks for inflation that has been observed since the last Copom meeting, and which is due to the recent evolution of domestic and external factors, the Copom believes this decision will contribute to intensify this process.The July Copom Minutes will be released in Portuguese next Thursday, July 29. ",Statement
2010/09/01,10.75,153.0,0.0,mantain,dovish,mantain," Brasília - The Copom unanimously decided to maintain the Selic target at 10.75 percent, without bias. While the Copom does not expect the inflation level registered in the last months to continue in a near future, it observes the continuation of the process of risk reduction for the inflationary scenario that has materialized since the penultimate meeting. In this context, the Committee evaluates that, at the moment, the maintenance of the basic interest rate at the level established in its July meeting provides adequate conditions to ensure the convergence of inflation to the targets path.The September Copom Minutes will be released next Thursday, September 9. ",Statement
2010/10/20,10.75,154.0,0.0,mantain,neutral,mantain," Brasília - Assessing the macroeconomic scenario and the prospects for inflation, the Copom unanimously decided to maintain the Selic target at 10.75 percent, without bias.The October Copom Minutes will be released next Thursday, October 28. ",Statement
2010/12/08,10.75,155.0,0.0,mantain,neutral,increase," Brasília - Assessing the macroeconomic scenario and the prospects for inflation, the Copom unanimously decided to maintain the Selic target at 10.75 percent, without bias.In light of a less favorable prospective scenario than that observed in the last meeting, but considering that, due to credit and liquidity conditions, the BCB recently introduced macroprudential measures, among the Committee members prevailed the understanding that additional time will be necessary in order to better measure the effect of these initiatives over monetary conditions. In this sense, the Committee understood it is not opportune to reevaluate monetary policy strategy at this meeting and will attentively follow the evolution of the macroeconomic scenario until its next meeting, and define the next steps in its monetary policy strategy.The December Copom Minutes will be released next Thursday, December16. ",Statement
2011/01/19,11.25,156.0,0.5,increase,hawkish,increase," Brasília - The Copom unanimously decided to increase the Selic target to 11.25 percent, without bias, starting a process of adjustment of the basic interest rate, whose effects, combined to those stemming from macroprudential actions, will contribute to inflation convergence towards target path.The January Copom Minutes will be released in Portuguese next Thursday, January 27.  ",Statement
2011/03/02,11.75,157.0,0.5,increase,hawkish,increase," Brasília - Continuing the adjustment process of the monetary conditions, the Copom unanimously decided to increase the Selic target to 11.75 percent, without bias.The March Copom Minutes will be released in Portuguese next Thursday, March 10. ",Statement
2011/04/20,12.0,158.0,0.25,increase,less hawkish,increase," Brasília - Following the process of adjustment of monetary conditions, the Copom decided to increase the Selic target to 12.00 percent, without bias, with five votes for the monetary policy action and two votes in favor of increasing the Selic rate by 50 basis points. Taking into account the balance of risks for inflation, the still uncertain rhythm of moderation of domestic activity, as well as the complexity that involves the international environment at the moment, the Committee understands that, at the present, the implementation of adjustments in monetary conditions for a sufficiently long period is the most adequate strategy to guarantee the convergence of inflation to the target in 2012.The April Copom Minutes will be released in Portuguese next Thursday, April 28. ",Statement
2011/06/08,12.25,159.0,0.25,increase,hawkish,increase," Brasília - Following the process of gradual adjustment of monetary conditions, the Copom unanimously decided to increase the Selic target to 12.25 percent, without bias. Taking into account the balance of risks for inflation, the still uncertain rhythm of moderation of domestic activity, as well as the complexity that involves the international environment, the Committee understands that the implementation of adjustments in monetary conditions for a sufficiently prolonged period continues to be the most adequate strategy to guarantee the convergence of inflation to the target in 2012.The June Copom Minutes will be released in Portuguese next Thursday, June 16. ",Statement
2011/07/20,12.5,160.0,0.25,increase,hawkish,decrease," Brasília - Assessing the prospective scenario and the balance of risks for inflation, the Copom unanimously decided, at the moment, to increase the Selic target to 12.50 percent, without bias.The July Copom Minutes will be released in Portuguese next Thursday, July 28. ",Statement
2011/08/31,12.0,161.0,-0.5,decrease,dovish,decrease," Brasília - The Copom decided to reduce the Selic rate to 12.00 percent, without bias, with five votes for the monetary policy action and two votes in favor of maintaining the Selic rate at 12.50 percent. Reassessing the international scenario, the Copom considers that there was substantial deterioration, materialized, for instance, in generalized and significant reduction in growth projections for the main economic blocks. The Committee understands that there was an increase in the chances that restrictions to which today several mature economies are exposed prolong for a period greater than previously anticipated. It also notices that, in these economies, the scope for the use of monetary policy seems limited, and a scenario of fiscal restriction prevails. Therefore, the Committee evaluates that the international scenario shows disinflationary bias in the relevant forecast period. For the Copom, the transmission of external developments for the Brazilian economy may materialize through several channels, among others, the reduction in the current of trade, moderation of the investments flow, more restrictive credit conditions and deterioration in the consumers and businessmen sentiment. The Committee understands that the complexity that surrounds the international scenario will contribute to intensify and accelerate the ongoing process of domestic activity moderation, which already materializes, for example, in the retreat of projections for the Brazilian economy growth. Therefore, in the relevant forecast period, the balance of risks for inflation becomes more favorable. By the way, the revision of the scenario for the fiscal policy also points in the same direction.Under this context, the Copom understands that, by promptly mitigating the effects stemming from a more restrictive global environment, a moderate adjustment in the basic rate level is consistent with the scenario of convergence of inflation to the target in 2012.The Committee will carefully monitor the evolution of macroeconomic environment and the developments in the international scenario, so that it then defines the next steps in its monetary policy strategy.The August Copom Minutes will be released in Portuguese next Thursday, September 8. ",Statement
2011/10/19,11.5,162.0,-0.5,decrease,dovish,decrease," Brasília - Continuing the process of adjustment of monetary conditions, the Copom unanimously decided to reduce the Selic rate to 11.50 percent, without bias. The Copom understands that, by promptly mitigating the effects stemming from a more restrictive global environment, a moderate adjustment in the basic rate level is consistent with the scenario of convergence of inflation to the target in 2012.The October Copom Minutes will be released in Portuguese next Thursday, October 27. ",Statement
2011/11/30,11.0,163.0,-0.5,decrease,dovish,decrease," Brasília - Continuing the process of adjustment of monetary conditions, the Copom unanimously decided to reduce the Selic rate to 11.00 percent, without bias.The Copom understands that, by promptly mitigating the effects stemming from a more restrictive global environment, a moderate adjustment in the basic rate level is consistent with the scenario of inflation convergence to the target in 2012.The November Copom Minutes will be released in Portuguese next Thursday, December 8. ",Statement
2012/01/18,10.5,164.0,-0.5,decrease,dovish,decrease," Brasília – Continuing the process of adjustment of monetary conditions, the Copom unanimously decided to reduce the Selic rate to 10.50 percent, without bias.The Copom understands that, by promptly mitigating the effects stemming from a more restrictive global environment, a moderate adjustment in the basic rate level is consistent with the scenario of inflation convergence to the target in 2012.The January Copom Minutes will be released in Portuguese next Thursday, January 26. ",Statement
2012/03/07,9.75,165.0,-0.75,decrease,dovish,decrease," Brasília – Continuing the process of adjustment of monetary conditions, the Copom decided to reduce the Selic rate to 9.75 percent, without bias, with five votes for the monetary policy action and two votes in favor of reducing the Selic rate by 50 basis points.The March Copom Minutes will be released in Portuguese next Thursday, March 15. ",Statement
2012/04/18,9.0,166.0,-0.75,decrease,dovish,decrease," The Copom released the following note to the public:""The Copom considers that, at this moment, the risks for the inflation path remain limited. The Committee also notes that, up to now, given the fragility of the global economy, the contribution of the external sector has been disinflationary.Therefore, continuing the adjustment process of monetary conditions, the Copom unanimously decided to reduce the Selic rate to 9 percent p.a., without bias."".The April Copom Minutes will be released in Portuguese next Thursday, April 26. ",Statement
2012/05/30,8.5,167.0,-0.5,decrease,less dovish,decrease," The Copom released the following note to the public:""The Copom considers that, at this moment, the risks for the inflation path remain limited. The Committee also notes that, up to now, given the fragility of the global economy, the contribution of the external sector has been disinflationary.Therefore, continuing the adjustment process of monetary conditions, the Copom decided to reduce the Selic rate to 8.50 percent p.a., without bias.The following members of the Committee voted for the reduction of the Selic rate to 8.50 percent p.a.: Alexandre Antonio Tombini, Governor, Aldo Luiz Mendes, Altamir Lopes, Anthero de Moraes Meirelles, Carlos Hamilton Vasconcelos Araújo, Luiz Awazu Pereira da Silva and Sidnei Corrêa Marques.""The May Copom Minutes will be released in Portuguese next Friday, June 8. ",Statement
2012/10/10,7.25,170.0,-0.25,decrease,less dovish,mantain," The Copom released the following note to the public:""The Copom decided to reduce the Selic rate to 7.25 percent, without bias, with 5 votes for the monetary policy action and 3 votes in favor of maintaining the Selic rate at 7.50 percent.Considering the balance of risks for inflation, the domestic activity recovery and the complexity that surrounds the international environment, the Committee understands that the stability of monetary conditions for a sufficiently long period of time is the most adequate strategy to guarantee the convergence of inflation to the target, even in a non-linear way.The following members of the Committee voted for the reduction of the Selic rate to 7.25 percent p.a.: Alexandre Antonio Tombini, Governor, Aldo Luiz Mendes, Altamir Lopes, Luiz Awazu Pereira da Silva and Luiz Edson Feltrim.The following members of the Committee voted for the maintenance of the Selic rate at 7.50 percent p.a.: Anthero de Moraes Meirelles, Carlos Hamilton Vasconcelos Araújo and Sidnei Corrêa Marques.""The October Copom Minutes will be released in Portuguese next Thursday, October 18. ",Statement
2012/11/28,7.25,171.0,0.0,mantain,hawkish,mantain," The Copom released the following note to the public:""The Copom unanimously decided to maintain the Selic rate at 7.25 percent, without bias.Considering the balance of risks for inflation, the domestic activity recovery and the complexity that surrounds the international environment, the Committee understands that the stability of monetary conditions for a sufficiently long period of time is the most adequate strategy to guarantee the convergence of inflation to the target, even in a non-linear way.The following members of the Committee voted for this decision: Alexandre Antonio Tombini, Governor, Aldo Luiz Mendes, Altamir Lopes, Anthero de Moraes Meirelles, Carlos Hamilton Vasconcelos Araújo, Luiz Awazu Pereira da Silva, Luiz Edson Feltrim and Sidnei Corrêa Marques.""The November Copom Minutes will be released in Portuguese next Thursday, December 6. ",Statement
2013/01/16,7.25,172.0,0.0,mantain,neutral,mantain," The Copom released the following note to the public:""The Copom unanimously decided to maintain the Selic rate at 7.25 percent, without bias.Considering the balance of risks for inflation, which deteriorated in the short term, the domestic activity recovery, less intense than expected, and the complexity that still surrounds the international environment, the Committee understands that the stability of monetary conditions for a sufficiently long period of time is the most adequate strategy to guarantee the convergence of inflation to the target.The following members of the Committee voted for this decision: Alexandre Antonio Tombini (Governor), Aldo Luiz Mendes, Altamir Lopes, Anthero de Moraes Meirelles, Carlos Hamilton Vasconcelos Araújo, Luiz Awazu Pereira da Silva, Luiz Edson Feltrim and Sidnei Corrêa Marques.""The January Copom Minutes will be released in Portuguese next Thursday, January 24. ",Statement
2013/03/06,7.25,173.0,0.0,mantain,neutral,increase," The Copom released the following note to the public:""Assessing the macroeconomic outlook and the inflation prospects, the Copom unanimously decided to maintain the Selic rate at 7.25 percent, without bias. The Committee will monitor the evolution of the macroeconomic scenario until its next meeting, in order to define the next steps in its monetary policy strategy.The following members of the Committee voted for this decision: Alexandre Antonio Tombini (Governor), Aldo Luiz Mendes, Altamir Lopes, Anthero de Moraes Meirelles, Carlos Hamilton Vasconcelos Araújo, Luiz Awazu Pereira da Silva, Luiz Edson Feltrim and Sidnei Corrêa Marques.""The March Copom Minutes will be released in Portuguese next Thursday, March 14. ",Statement
2013/04/17,7.5,174.0,0.25,increase,hawkish,increase," The Copom released the following note to the public:""The Copom decided to increase the Selic rate to 7.50 percent, without bias, with 6 votes for the monetary policy action and 2 votes in favor of maintaining the Selic rate at 7.25 percent.The Committee evaluates that the high inflation level and the dispersion in price increases, among other factors, contribute for inflation to show resilience and demand a monetary policy response. On the other hand, the Copom evaluates that domestic and, mainly, external uncertainties surround the prospective scenario for inflation and recommend that monetary policy be administered with caution.The following members of the Committee voted for the increase of the Selic rate to 7.50 percent p.a.: Alexandre Antonio Tombini (Governor), Altamir Lopes, Anthero de Moraes Meirelles, Carlos Hamilton Vasconcelos Araújo, Luiz Edson Feltrim and Sidnei Corrêa Marques.The following members of the Committee voted for the maintenance of the Selic rate at 7.25 percent p.a.: Aldo Luiz Mendes and Luiz Awazu Pereira da Silva.""The April Copom Minutes will be released in Portuguese next Thursday, April 25. ",Statement
2013/05/29,8.0,175.0,0.5,increase,hawkish,increase," The Copom released the following note to the public:""Continuing the adjustment process of the basic interest rate, the Copom unanimously decided to increase the Selic rate to 8.00 percent, without bias.The Committee evaluates that this decision will contribute to set inflation into decline and ensure that this trend persists in the upcoming year.The following members of the Committee voted for this decision: Alexandre Antonio Tombini (Governor), Aldo Luiz Mendes, Altamir Lopes, Anthero de Moraes Meirelles, Carlos Hamilton Vasconcelos Araújo, Luiz Awazu Pereira da Silva, Luiz Edson Feltrim and Sidnei Corrêa Marques.""The May Copom Minutes will be released in Portuguese next Thursday, June 6. ",Statement
2013/07/10,8.5,176.0,0.5,increase,hawkish,increase," The Copom released the following note to the public:""Continuing the adjustment process of the basic interest rate, the Copom unanimously decided to increase the Selic rate to 8.50 percent, without bias.The Committee evaluates that this decision will contribute to set inflation into decline and ensure that this trend persists in the upcoming year.The following members of the Committee voted for this decision: Alexandre Antonio Tombini (Governor), Aldo Luiz Mendes, Altamir Lopes, Anthero de Moraes Meirelles, Carlos Hamilton Vasconcelos Araújo, Luiz Awazu Pereira da Silva, Luiz Edson Feltrim and Sidnei Corrêa Marques.""The July Copom Minutes will be released in Portuguese next Thursday, July 18. ",Statement
2013/08/28,9.0,177.0,0.5,increase,hawkish,increase," The Copom released the following note to the public:""Continuing the adjustment process of the basic interest rate, the Copom unanimously decided to increase the Selic rate to 9.00 percent, without bias.The Committee evaluates that this decision will contribute to set inflation into decline and ensure that this trend persists in the upcoming year.The following members of the Committee voted for this decision: Alexandre Antonio Tombini (Governor), Aldo Luiz Mendes, Altamir Lopes, Anthero de Moraes Meirelles, Carlos Hamilton Vasconcelos Araújo, Luiz Awazu Pereira da Silva, Luiz Edson Feltrim and Sidnei Corrêa Marques.""The August Copom Minutes will be released in Portuguese next Thursday, September 5. ",Statement
2013/10/09,9.5,178.0,0.5,increase,hawkish,increase," The Copom released the following note to the public:""Continuing the adjustment process of the basic interest rate, the Copom unanimously decided to increase the Selic rate to 9.50 percent, without bias.The Committee evaluates that this decision will contribute to set inflation into decline and ensure that this trend persists in the upcoming year.The following members of the Committee voted for this decision: Alexandre Antonio Tombini (Governor), Aldo Luiz Mendes, Altamir Lopes, Anthero de Moraes Meirelles, Carlos Hamilton Vasconcelos Araújo, Luiz Awazu Pereira da Silva, Luiz Edson Feltrim and Sidnei Corrêa Marques.""The October Copom Minutes will be released in Portuguese next Thursday, October 17. ",Statement
2013/11/27,10.0,179.0,0.5,increase,hawkish,increase," The Copom released the following note to the public:""Continuing the adjustment process of the basic interest rate, initiated at the April 2013 meeting, the Copom unanimously decided to increase the Selic rate to 10.00 percent, without bias.The following members of the Committee voted for this decision: Alexandre Antonio Tombini (Governor), Aldo Luiz Mendes, Altamir Lopes, Anthero de Moraes Meirelles, Carlos Hamilton Vasconcelos Araújo, Luiz Awazu Pereira da Silva, Luiz Edson Feltrim and Sidnei Corrêa Marques.""The November Copom Minutes will be released in Portuguese next Thursday, November 27. ",Statement
2014/01/15,10.5,180.0,0.5,increase,hawkish,increase," The Copom released the following note to the public:""Continuing the adjustment process of the basic interest rate, initiated at the April 2013 meeting, the Copom unanimously decided, at this moment, to increase the Selic rate to 10.50 percent, without bias.The following members of the Committee voted for this decision: Alexandre Antonio Tombini (Governor), Aldo Luiz Mendes, Altamir Lopes, Anthero de Moraes Meirelles, Carlos Hamilton Vasconcelos Araújo, Luiz Awazu Pereira da Silva, Luiz Edson Feltrim and Sidnei Corrêa Marques.""The January Copom Minutes will be released in Portuguese next Thursday, January 23. ",Statement
